country,age
Afghanistan,66.18768994741696
Albania,68.18286725675331
Algeria,67.75751862088617
Angola,66.05114463433422
Antigua and Barbuda,67.53659950717497
Argentina,69.09341200110866
Armenia,67.66926285644273
Aruba,67.34087299884116
Australia,69.63125495917939
Austria,70.16578415122804
Azerbaijan,66.24119689218836
Bahamas,66.9761320126519
Bahrain,64.98021897648441
Bangladesh,67.83741224919733
Barbados,69.43767283876396
Belarus,68.33782195488045
Belgium,70.13405338006334
Belize,67.74264730099132
Benin,66.76269158720726
Bhutan,68.38416837722977
Bolivia (Plurinational State of),69.02408571301082
Bosnia and Herzegovina,68.16277413344488
Botswana,66.53047078836012
Brazil,68.01229860965975
Brunei Darussalam,65.94667436711907
Bulgaria,69.28507109549078
Burkina Faso,65.9756026246732
Burundi,65.65526483147087
Cabo Verde,67.51534764193593
Cambodia,66.4099066228888
Cameroon,66.23695715024137
Canada,69.22611092349251
Central African Republic,66.28662128581148
Chad,66.36658256515288
Channel Islands,69.7961260355313
Chile,68.65434622049852
China,67.28795240083473
"China, Hong Kong SAR",69.0034167748594
"China, Macao SAR",66.86779826995266
Colombia,68.09221028305474
Comoros,66.06693010619905
Congo,65.97887061706447
Costa Rica,68.2263038229298
Croatia,69.58456664169918
Cuba,69.44713916164937
Curaçao,68.84965321798794
Cyprus,68.95724700151496
Czechia,69.33548852626647
Côte d'Ivoire,65.91643565446621
Democratic Republic of the Congo,66.66489259127022
Denmark,69.89027120697709
Djibouti,66.7428496889975
Dominican Republic,68.1868559973049
Ecuador,68.23268273758217
Egypt,66.83476212952151
El Salvador,68.76711768271007
Equatorial Guinea,66.14553504144688
Eritrea,67.56011216263582
Estonia,70.09992022113354
Eswatini,67.70976221409796
Ethiopia,67.0963718633823
Fiji,65.93760862009037
Finland,69.99407345061509
France,70.53092314402973
French Guiana,66.42962347520678
French Polynesia,67.40013629691758
Gabon,67.0139395923026
Gambia,66.38195968868487
Georgia,68.58570658992645
Germany,70.57629932517204
Ghana,65.8030478694431
Greece,70.99346501113614
Grenada,67.83669933078394
Guadeloupe,69.79597599379743
Guam,67.99890948745909
Guatemala,68.28306040624891
Guinea,66.07982580167146
Guinea-Bissau,65.9227272222037
Guyana,67.39469889687349
Haiti,67.39905730571087
Honduras,67.98305465585936
Hungary,69.13934556278598
Iceland,69.09306079266472
India,66.84800217003767
Indonesia,66.52583437368683
Iran (Islamic Republic of),66.86743807938798
Iraq,66.91770533631286
Ireland,69.07624164672882
Israel,69.45057841794495
Italy,70.97451524939783
Jamaica,68.2897462652381
Japan,71.78044868114424
Jordan,67.16540399971642
Kazakhstan,67.18476402095655
Kenya,65.80740604341652
Kiribati,66.39357479533615
Kuwait,64.07292805794086
Kyrgyzstan,66.05556028570075
Lao People's Democratic Republic,66.40768555169709
Latvia,70.08576619531469
Lebanon,67.69385662359541
Lesotho,67.07943519368688
Liberia,66.45641540103566
Libya,67.22818625180042
Lithuania,70.31704251435752
Luxembourg,69.44615741927214
Madagascar,66.27685827448488
Malawi,66.6067375691772
Malaysia,67.08088796365281
Maldives,67.62674444838366
Mali,66.30223231418702
Malta,69.44286208533474
Martinique,69.96190788634334
Mauritania,66.40268311839672
Mauritius,67.49113547049208
Mayotte,68.04649486393946
Mexico,68.04027067935854
Micronesia (Fed. States of),64.83488475177306
Mongolia,66.2195790442715
Montenegro,68.28662209285574
Morocco,66.86127353398263
Mozambique,66.65009864870981
Myanmar,66.21239770551682
Namibia,66.89159982878277
Nepal,67.13570104385722
Netherlands,69.59023993291645
New Caledonia,67.60063676975095
New Zealand,69.2995201329437
Nicaragua,67.56149228935178
Niger,66.07755966688394
Nigeria,65.65884588029809
North Korea,67.43489959956244
North Macedonia,67.76049261175245
Norway,69.65135177346686
Oman,66.55895194501704
Pakistan,67.00697242672081
Panama,68.74651618082537
Papua New Guinea,65.54960005367408
Paraguay,67.84584448503904
Peru,68.20385844855141
Philippines,66.80919288092284
Poland,68.90908874227554
Portugal,70.51623788628636
Puerto Rico,69.9750679162585
Qatar,64.11189724398706
Republic of Moldova,67.09744425505224
Romania,69.13898658773887
Russian Federation,68.31315283482093
Rwanda,65.98501627584045
Réunion,68.43819915642766
Saint Lucia,68.59808980129543
Saint Vincent and the Grenadines,68.15934909425854
Samoa,66.69539869608826
Sao Tome and Principe,66.44347826086958
Saudi Arabia,66.15281365771084
Senegal,66.54918249321277
Serbia,68.70697317342854
Seychelles,67.31759824643807
Sierra Leone,66.39035181539776
Singapore,66.80751242708679
Slovakia,68.31020641481463
Slovenia,69.60073797410847
Solomon Islands,67.09392308090482
Somalia,66.35033744453605
South Africa,66.65116182597205
South Korea,68.35829450577889
South Sudan,66.8876012478346
Spain,70.71213776184159
Sri Lanka,67.46472203578435
State of Palestine,66.87681608155098
Sudan,66.77604335729423
Suriname,67.5434905927957
Sweden,70.42379130086981
Switzerland,70.16339348171446
Syrian Arab Republic,67.00451977915439
Taiwan,68.32402712033554
Tajikistan,65.55892110066365
Thailand,68.00248714803273
Timor-Leste,67.02805474772654
Togo,65.92730965146418
Tonga,67.64584688787681
Trinidad and Tobago,67.6339065198026
Tunisia,67.41223495055854
Turkey,67.93839295176954
Turkmenistan,66.16262552245588
Uganda,65.99485098339443
Ukraine,68.67459205827078
United Arab Emirates,63.93382033779505
United Kingdom,70.20034973383676
United Republic of Tanzania,66.18492701347994
United States Virgin Islands,68.79972279972277
United States of America,69.15122403804149
Uruguay,70.23382295408472
Uzbekistan,65.971207912303
Vanuatu,66.3577477426953
Venezuela (Bolivarian Republic of),67.47951769733076
Viet Nam,67.80368752157435
Western Sahara,64.87883023047307
Yemen,66.37253038209188
Zambia,66.28345469795458
Zimbabwe,66.85921962018143
San Marino,70.97451524939783
